first_name,last_name,team,number,position,age,born,birth_place,country,height,weight,shoots
Trip,Pendy,Brown Univ.,11,F,21,2005,"Far Hills, NJ",USA,"6'1""",201,L
Benjamin,Poitras,Brown Univ.,12,F,20,2005,"Montréal, QC",Canada,"6'0""",190,R
Michael,Salandra,Brown Univ.,13,F,22,2003,"Pleasantville, NY",USA,"5'10""",187,R
Ryan,Shostak,Brown Univ.,8,F,24,2001,"Calgary, AB",Canada,"6'0""",190,L
Ryan,St. Louis,Brown Univ.,9,F,22,2003,"Burlington, VT",USA,"5'10""",181,L
Brendan,Tighe,Brown Univ.,14,F,19,2006,"Birmingham, MI",USA,"5'11""",187,R
Zackary,Tonelli,Brown Univ.,25,F,24,2002,"Armonk, NY",USA,"5'9""",170,R
Ivan,Zadvernyuk,Brown Univ.,7,F,21,2004,Moskva,Russia,"6'3""",201,L
Chase,Clark,Canisius College,41,G,23,2002,"Williamsville, NY",USA,"6'7""",225,R
Ethan,Robertson,Canisius College,30,G,24,2002,"Courtice, ON",Canada,"6'1""",181,L
Petter,Wickström Stumer,Canisius College,33,G,21,2004,Stockholm,Sweden,"6'6""",205,L
François-James,Buteau,Canisius College,73,D,21,2004,"Montréal, QC",Canada,"6'4""",209,L
Jason,Gallucci,Canisius College,13,D,21,2004,"Robbinsville, NJ",USA,"5'11""",174,L
Robert,Kincaid,Canisius College,5,D,23,2002,"Barrhead, AB",Canada,"6'2""",185,L
Luke,Marshall,Canisius College,44,D,21,2004,"Saskatoon, SK",Canada,"6'1""",181,L
Joseph,Messina,Canisius College,23,D,24,2002,"Woodbridge, ON",Canada,"5'9""",185,L
Jack,Pascucci,Canisius College,77,D,24,2002,"North Andover, MA",USA,"6'2""",194,R
Carter,Patterson,Canisius College,57,D,22,2003,"Burlington, ON",Canada,"6'4""",216,R
Josh,Phillips,Canisius College,22,D,24,2001,"Getzville, NY",USA,"6'1""",190,R
Nick,Strom,Canisius College,25,D,25,2000,"Dayton, MN",USA,"6'0""",185,L
Carter,Anderson,Canisius College,27,F,21,2004,"Thompson, MB",Canada,"5'11""",185,L
Hunter,Andrew,Canisius College,37,F,23,2002,"Virden, MB",Canada,"6'0""",174,L
Stefano,Bottini,Canisius College,26,F,23,2002,Lugano,Switzerland,"6'2""",190,L
Rhys,Chiddenton,Canisius College,8,F,22,2003,"Campbellville, ON",Canada,"6'0""",185,L
Brice,Cooke,Canisius College,4,F,21,2004,"Orangeville, ON",Canada,"6'3""",190,L
David,Elmy,Canisius College,94,F,21,2005,"Mississauga, ON",Canada,"6'0""",185,R
Trey,Funk,Canisius College,14,F,23,2002,"Redwood Meadows, AB",Canada,"6'2""",181,R
Ryan,Gillespie,Canisius College,20,F,23,2003,"Toronto, ON",Canada,"6'0""",185,R
Kyan,Haldenby,Canisius College,72,F,21,2004,"Toronto, ON",Canada,"6'2""",194,R
Killian,Kiecker-Olson,Canisius College,88,F,25,2001,"Andover, MN",USA,"6'1""",194,R
Christian,MacDougall,Canisius College,55,F,24,2001,"Toronto, ON",Canada,"6'0""",174,L
Alton,McDermott,Canisius College,91,F,24,2001,"Oakville, ON",Canada,"6'0""",181,R
Cole,Miller,Canisius College,15,F,21,2005,"Edmonton, AB",Canada,"6'4""",190,R
Grant,Porter,Canisius College,47,F,24,2002,"Weston, MA",USA,"6'0""",181,R
Hunter,Price,Canisius College,61,F,22,2003,"Calgary, AB",Canada,"6'1""",209,R
Kash,Rasmussen,Canisius College,12,F,24,2001,"Cochrane, AB",Canada,"6'1""",179,L
Oliver,Tarr,Canisius College,92,F,24,2002,"Uxbridge, ON",Canada,"6'0""",185,R
Walter,Zacher,Canisius College,9,F,23,2002,"Buffalo, NY",USA,"5'11""",190,R
Nick,Avakyan,Clarkson Univ.,60,G,22,2004,"Glendale, CA",USA,"6'1""",185,L
Keenan,Rancier,Clarkson Univ.,35,G,25,2000,"Victoria, BC",Canada,"6'2""",183,L
Shane,Soderwall,Clarkson Univ.,30,G,23,2002,"Algonquin, IL",USA,"6'2""",185,R
William-Charles,Bishop,Clarkson Univ.,26,D,21,2004,"Baie d'Urfée, QC",Canada,"6'0""",201,L
Ty,Brassington,Clarkson Univ.,44,D,21,2004,"White Rock, BC",Canada,"6'1""",185,L
Noah,Houle,Clarkson Univ.,3,D,22,2003,"Montréal, QC",Canada,"6'1""",192,R
Matthew,Mayich,Clarkson Univ.,21,D,21,2004,"Stoney Creek, ON",Canada,"6'2""",196,L
Tristan,Sarsland,Clarkson Univ.,5,D,22,2004,"Wayzata, MN",USA,"6'1""",203,R
Bryce,Sookro,Clarkson Univ.,72,D,21,2004,"Nelson, BC",Canada,"6'1""",223,R
Jack,Sparkes,Clarkson Univ.,55,D,22,2003,"Ottawa, ON",Canada,"6'8""",238,R
Tate,Taylor,Clarkson Univ.,27,D,21,2004,"Richmond, BC",Canada,"5'11""",174,R
Erik,Bargholtz,Clarkson Univ.,9,F,24,2001,"Appleton, WI",USA,"6'1""",194,R
Ryan,Bottrill,Clarkson Univ.,16,F,24,2002,"Scottsdale, AZ",USA,"6'1""",185,R
Justin,Côté,Clarkson Univ.,92,F,21,2004,"Salaberry-de-Valleyfield, QC",Canada,"5'6""",163,L
Rémi,Gélinas,Clarkson Univ.,10,F,20,2005,"Deux-Montagnes, QC",Canada,"6'0""",187,L
Conyr,Hellyer,Clarkson Univ.,28,F,21,2004,"Okotoks, AB",Canada,"6'3""",209,L
Mikael,Huchette,Clarkson Univ.,91,F,22,2003,"Longueuil, QC",Canada,"6'3""",198,R
Jace,Letourneau,Clarkson Univ.,81,F,21,2004,"Arnprior, ON",Canada,"6'5""",190,L
Jared,Mangan,Clarkson Univ.,20,F,22,2003,"Charleston, SC",USA,"5'10""",172,L
Adrian,Misaljevic,Clarkson Univ.,86,F,21,2004,"Woodbridge, ON",Canada,"5'11""",174,L
Oliver,Moberg,Clarkson Univ.,23,F,23,2003,Bromma,Sweden,"6'3""",201,L
Shawn,O'Donnell,Clarkson Univ.,13,F,22,2003,"Pittsburgh, PA",USA,"5'11""",181,L
Luke,Pakulak,Clarkson Univ.,29,F,22,2003,"Surrey, BC",Canada,"6'4""",205,R
Talon,Sigurdson,Clarkson Univ.,14,F,24,2002,"Sartell, MN",USA,"6'2""",181,R
Colton,Smith,Clarkson Univ.,18,F,22,2004,"Hershey, PA",Canada,"6'3""",209,L
Maël,St-Denis,Clarkson Univ.,37,F,20,2005,"Nominingue, QC",Canada,"6'0""",196,L
Luka,Sukovic,Clarkson Univ.,11,F,22,2003,"Lincolnshire, IL",USA,"6'3""",216,R
Owen,Van Steensel,Clarkson Univ.,19,F,21,2004,"Ilderton, ON",Canada,"5'10""",185,L
Reid,Dyck,Colgate Univ.,37,G,22,2004,"Winkler, MB",Canada,"6'4""",196,L
Nick,Haas,Colgate Univ.,30,G,24,2001,"Williamsville, NY",USA,"6'4""",194,L
Jack,Olson,Colgate Univ.,35,G,22,2003,"St. Louis Park, MN",USA,"6'1""",174,R
Andrew,Takacs,Colgate Univ.,1,G,25,2001,"Bowie, MD",USA,"6'2""",190,L
Antonio,Fernandez,Colgate Univ.,11,D,22,2003,"San Jose, CA",USA,"5'8""",179,R
Luke,Malboeuf,Colgate Univ.,28,D,21,2005,"Monroeville, PA",USA,"6'0""",190,R
Brett,Merner,Colgate Univ.,27,D,22,2004,"Nanaimo, BC",Canada,"6'1""",181,R
Bobby,Metz,Colgate Univ.,6,D,24,2001,"Detroit, MI",USA,"5'9""",179,R
Jacob,Napier,Colgate Univ.,5,D,22,2003,"Lancaster, NY",USA,"6'2""",205,L
Michael,Neumeier,Colgate Univ.,3,D,23,2003,"Kerrobert, SK",Canada,"6'2""",194,L
Joshua,Niedermayer,Colgate Univ.,26,D,22,2004,"Newport Beach, CA",USA,"6'0""",207,L
Isaiah,Norlin,Colgate Univ.,9,D,22,2003,"Minneapolis, MN",USA,"6'6""",205,R
Jack,Brandt,Colgate Univ.,14,F,21,2004,"Columbus, OH",USA,"5'10""",170,L
Simone,Dadiè,Colgate Univ.,10,F,22,2003,Brunico,Italy,"6'2""",209,L
Tyson,Doucette,Colgate Univ.,25,F,22,2004,"Sault Ste. Marie, ON",Canada,"6'0""",181,L
Simon,Labelle,Colgate Univ.,7,F,23,2002,"Ottawa, ON",Canada,"5'10""",176,L
Max,Nagel,Colgate Univ.,13,F,21,2004,"West St. Paul, MN",USA,"5'8""",161,R
Owen,Neuharth,Colgate Univ.,23,F,24,2001,"Prior Lake, MN",USA,"5'11""",176,R
Robby,Newton,Colgate Univ.,22,F,24,2001,"Milwaukee, WI",USA,"5'9""",194,R
Daniel,Panetta,Colgate Univ.,12,F,24,2001,"Belleville, ON",Canada,"5'10""",174,L
Davide,Patella,Colgate Univ.,29,F,22,2004,"Laval, QC",Canada,"6'2""",194,L
Nicholas,Rexine,Colgate Univ.,21,F,23,2002,"Syracuse, NY",USA,"6'2""",194,R
Jake,Schneider,Colgate Univ.,24,F,23,2002,"Plymouth, MN",USA,"5'11""",198,R
Ryan,Spinale,Colgate Univ.,19,F,22,2004,"Plymouth, MA",USA,"6'6""",216,R
Ryan,Sullivan,Colgate Univ.,16,F,23,2002,"Calgary, AB",Canada,"6'2""",190,L
Easton,Wainwright,Colgate Univ.,20,F,21,2005,"Mount Hope, ON",Canada,"5'10""",190,L
Louden,Hogg,College of the Holy Cross,1,G,23,2002,"Cheyenne, WY",USA,"5'11""",170,L
Danick,Leroux,College of the Holy Cross,30,G,20,2005,"Candiac, QC",Canada,"6'2""",201,L
Connor,Mackenzie,College of the Holy Cross,33,G,23,2002,"Toronto, ON",Canada,"6'0""",179,L
Anthony,Biakabutuka,College of the Holy Cross,4,D,19,2006,"Longueuil, QC",Canada,"6'3""",209,L
Ryan,Buckley,College of the Holy Cross,8,D,22,2004,"Warwick, RI",USA,"6'1""",179,R
William,Elias,College of the Holy Cross,13,D,23,2003,"Weston, MA",USA,"6'0""",179,R
Brody,Gagno,College of the Holy Cross,3,D,23,2002,"South Surrey, BC",Canada,"6'1""",190,R
Lachlan,Getz,College of the Holy Cross,2,D,24,2002,"Northfield, IL",USA,"6'3""",185,R
Owain,Johnston,College of the Holy Cross,14,D,22,2003,"Toronto, ON",Canada,"6'1""",194,R
Ben,LeFranc,College of the Holy Cross,23,D,22,2003,"Penticton, BC",Canada,"5'9""",176,R
Quinn,McCall,College of the Holy Cross,37,D,21,2005,"St. John, IN",USA,"5'11""",181,R
Mack,Oliphant,College of the Holy Cross,27,D,23,2002,"Northbrook, IL",USA,"6'3""",194,R
Will,Troutwine,College of the Holy Cross,5,D,23,2002,"Eveleth, MN",USA,"6'3""",216,L
Dax,Williams,College of the Holy Cross,24,D,20,2005,"Calgary, AB",Canada,"6'0""",201,L
Michael,Abgrall,College of the Holy Cross,11,F,22,2003,"Richmond, BC",Canada,"5'11""",172,L
Anthony,Carone,College of the Holy Cross,7,F,22,2003,"Pittsburgh, PA",USA,"6'1""",183,R
Matt,DeBoer,College of the Holy Cross,17,F,23,2002,"Madison, NJ",USA,"6'0""",185,R
Noah,Eyre,College of the Holy Cross,38,F,21,2004,"Vienna, VA",USA,"5'11""",176,R
Ty,Gagno,College of the Holy Cross,18,F,22,2003,"Langley, BC",Canada,"6'2""",185,R
Timothy,Heinke,College of the Holy Cross,6,F,24,2001,"Kensington, CT",USA,"6'1""",194,R
David,Hymovitch,College of the Holy Cross,10,F,22,2003,"Phoenix, AZ",USA,"5'11""",176,R
Owen,Kim,College of the Holy Cross,21,F,21,2004,"North Vancouver, BC",Canada,"5'8""",161,R
Matt,Kursonis,College of the Holy Cross,12,F,21,2004,"Worcester, MA",USA,"6'1""",187,L
Devin,Phillips,College of the Holy Cross,20,F,24,2001,"Raleigh, NC",USA,"5'10""",181,L
Will,Reardon,College of the Holy Cross,26,F,21,2004,"Philadelphia, PA",USA,"6'6""",220,R
Jack,Seymour,College of the Holy Cross,28,F,24,2001,"Chelsea, QC",Canada,"5'11""",170,R
Jarrod,Smith,College of the Holy Cross,15,F,22,2004,"West Vancouver, BC",Canada,"5'10""",165,R
Joe,Solimine,College of the Holy Cross,34,F,23,2002,"Middleton, MA",USA,"5'8""",165,L
Jack,Stockfish,College of the Holy Cross,19,F,23,2002,"North Bay, ON",Canada,"6'4""",216,R
Connor,Welsh,College of the Holy Cross,29,F,22,2004,"Greenwich, CT",USA,"5'11""",174,R
Beckham,Dempsey,Colorado College,1,G,21,2004,"Wayne, IL",USA,"6'1""",183,L
Kaidan,Mbereko,Colorado College,33,G,22,2003,"West Bloomfield, MI",USA,"5'11""",185,L
Jackson,Unger,Colorado College,30,G,21,2005,"Calgary, AB",Canada,"6'2""",190,R
Nick,Baer,Colorado College,15,D,21,2004,"Minnetonka, MN",USA,"6'0""",185,R
Philippe,Blais-Savoie,Colorado College,7,D,20,2005,"San Jose, CA",USA,"6'1""",196,L
Max,Burkholder,Colorado College,4,D,22,2003,"Chaska, MN",USA,"5'9""",176,R
Seth,Constance,Colorado College,3,D,21,2004,"Northville, MI",USA,"6'2""",187,R
Ryan,Koering,Colorado College,5,D,21,2005,"Eden Prairie, MN",USA,"6'4""",194,L
Mats,Lindgren,Colorado College,23,D,21,2004,"North Vancouver, BC",Canada,"6'0""",183,L
Matteo,Mann,Colorado College,27,D,21,2004,"Sackville, NB",Canada,"6'6""",229,R
Colton,Roberts,Colorado College,6,D,19,2006,"Ridge Meadows, BC",Canada,"6'4""",209,R
Fisher,Scott,Colorado College,18,D,21,2004,"Carbondale, CO",USA,"6'2""",185,L
Ryan,Alexander,Colorado College,21,F,23,2002,"Toronto, ON",Canada,"5'11""",176,L
Owen,Beckner,Colorado College,9,F,21,2005,"Victoria, BC",Canada,"6'2""",190,L
Wilson,Björck,Colorado College,26,F,20,2006,Stockholm,Sweden,"6'0""",176,L
Jordan,Brisson,Colorado College,22,F,22,2003,"Manhattan Beach, CA",USA,"6'2""",190,L
Connor,Hvidston,Colorado College,14,F,21,2004,"Tisdale, SK",Canada,"6'3""",185,L
Shane,Kozlina,Colorado College,12,F,21,2004,"Cranberry Township, PA",USA,"5'11""",174,L
Gavin,Lindberg,Colorado College,20,F,21,2004,"Fergus Falls, MN",USA,"6'1""",194,R
Bret,Link,Colorado College,10,F,23,2002,"Anchorage, AK",USA,"6'3""",196,R
Brandon,Lisowsky,Colorado College,8,F,21,2004,"Port Coquitlam, BC",Canada,"5'9""",183,L
Drew,Montgomery,Colorado College,29,F,22,2003,"Grand Forks, ND",USA,"5'11""",174,L
Mateo,Mrsic,Colorado College,19,F,21,2004,"Cloverdale, BC",Canada,"5'11""",185,L
Tomas,Mrsic,Colorado College,17,F,20,2006,"Surrey, BC",Canada,"6'0""",174,L
Brayden,Schuurman,Colorado College,28,F,22,2004,"Abbotsford, BC",Canada,"5'10""",201,R
Merril,Steenari,Colorado College,13,F,22,2004,"Aliso Viejo, CA",USA,"5'10""",181,R
Riley,Stuart,Colorado College,25,F,24,2002,"Phoenix, AZ",USA,"6'2""",209,R
Klavs,Veinbergs,Colorado College,24,F,22,2003,Riga,Latvia,"6'3""",212,L
Alexis,Cournoyer,Cornell Univ.,30,G,20,2005,"Trois-Rivières, QC",Canada,"6'4""",205,L
Justin,Katz,Cornell Univ.,37,G,21,2004,"Mont-Royal, QC",Canada,"6'2""",183,R
Remington,Keopple,Cornell Univ.,33,G,23,2002,"Hudson, WI",USA,"6'2""",190,L
Erick,Roest,Cornell Univ.,40,G,21,2004,"Lethbridge, AB",Canada,"6'0""",181,L
Luke,Ashton,Cornell Univ.,27,D,21,2005,"North Vancouver, BC",Canada,"6'6""",238,L
George,Fegaras,Cornell Univ.,6,D,21,2004,"Richmond Hill, ON",Canada,"6'2""",212,R
Michael,Fisher,Cornell Univ.,16,D,21,2004,"Westborough, MA",USA,"6'2""",194,R
Hudson,Gorski,Cornell Univ.,2,D,20,2005,"Scotch Plains, NJ",USA,"6'3""",181,R
Donovan,Hamilton,Cornell Univ.,26,D,20,2005,"Buffalo, NY",USA,"6'3""",198,L
Luke,McCrady,Cornell Univ.,7,D,20,2005,"Calgary, AB",Canada,"6'3""",185,L
Marian,Mosko,Cornell Univ.,13,D,21,2004,Zilina,Slovakia,"6'0""",185,L
Jack,O'Brien,Cornell Univ.,3,D,22,2003,"White Rock, BC",Canada,"6'0""",183,L
Hoyt,Stanley,Cornell Univ.,5,D,21,2005,"West Vancouver, BC",Canada,"6'3""",201,R
Xavier,Veilleux,Cornell Univ.,4,D,19,2006,"L'Ancienne-Lorette, QC",Canada,"6'1""",192,L
Nicholas,Wolfenberg,Cornell Univ.,24,D,21,2004,"Calgary, AB",Canada,"6'2""",212,R
Connor,Arsenault,Cornell Univ.,19,F,19,2006,"Saint John, NB",Canada,"6'2""",212,L
Jonathan,Castagna,Cornell Univ.,38,F,20,2005,"Etobicoke, ON",Canada,"6'2""",203,L
Tyler,Catalano,Cornell Univ.,15,F,22,2004,"St. Louis, MO",USA,"6'4""",216,R
Nick,DeSantis,Cornell Univ.,28,F,23,2002,"Collegeville, PA",USA,"5'9""",163,R
Luke,Devlin,Cornell Univ.,8,F,21,2004,"Memphis, TN",USA,"6'3""",209,L
Giovanni,DiGiulian,Cornell Univ.,18,F,20,2005,"South Burlington, VT",USA,"6'1""",161,R
Sean,Donaldson,Cornell Univ.,11,F,24,2001,"Vancouver, BC",Canada,"5'11""",192,L
Reegan,Hiscock,Cornell Univ.,21,F,21,2004,"St. John's, NL",Canada,"6'5""",209,L
Jacob,Kraft,Cornell Univ.,10,F,22,2003,"Rochester, NY",USA,"5'8""",181,L
Aiden,Long,Cornell Univ.,17,F,20,2005,"Mono, ON",Canada,"6'2""",209,L
Charlie,Major,Cornell Univ.,9,F,21,2004,"Skaneateles, NY",USA,"5'10""",179,R
Parker,Murray,Cornell Univ.,29,F,22,2003,"Manhattan Beach, CA",USA,"6'5""",229,L
Chase,Pirtle,Cornell Univ.,22,F,20,2005,"Far Hills, NJ",USA,"6'2""",176,R
Caton,Ryan,Cornell Univ.,12,F,19,2006,"San Francisco, CA",USA,"6'1""",185,L
Winter,Wallace,Cornell Univ.,23,F,24,2002,"Boulder, CO",USA,"6'4""",223,R
Ryan,Walsh,Cornell Univ.,14,F,22,2003,"Rochester, NY",USA,"6'1""",187,R
Roan,Clarke,Dartmouth College,32,G,22,2003,"Cloverdale, BC",Canada,"6'3""",190,L
Emmett,Croteau,Dartmouth College,70,G,22,2003,"Bonnyville, AB",Canada,"6'4""",209,L
Mike,Roberts,Dartmouth College,31,G,23,2002,"Wilton, CT",USA,"6'1""",194,L
Tim,Busconi,Dartmouth College,12,D,21,2004,"Milton, MA",USA,"6'1""",170,R
Eric,Charpentier,Dartmouth College,2,D,23,2002,"Silver Spring, MD",USA,"6'3""",205,L
Cooper,Cleaves,Dartmouth College,22,D,20,2006,"Riverside, CT",USA,"6'4""",205,R
Owen,Desilets,Dartmouth College,43,D,22,2004,"Airdrie, AB",Canada,"6'1""",174,L
Brock,Devlin,Dartmouth College,20,D,20,2005,"Mission Viejo, CA",USA,"5'10""",165,L
C.J.,Foley,Dartmouth College,4,D,22,2004,"Hanover, MA",USA,"5'11""",174,R
Matthew,Fusco,Dartmouth College,6,D,22,2003,"Westwood, MA",USA,"5'11""",194,R
Colin,Grable,Dartmouth College,9,D,23,2003,"Spring Lake, NJ",USA,"6'2""",201,R
Tucker,McRae,Dartmouth College,5,D,24,2001,"Calgary, AB",Canada,"6'0""",190,L
Andrew,Clarke,Dartmouth College,21,F,22,2004,"St. Louis, MO",USA,"5'11""",170,R
Hank,Cleaves,Dartmouth College,18,F,22,2003,"Riverside, CT",USA,"6'4""",201,L
Brock,Cummings,Dartmouth College,71,F,20,2005,"Mississauga, ON",Canada,"6'2""",194,L
Tyler,Grahme,Dartmouth College,27,F,21,2004,"Bloomington, MN",USA,"5'11""",185,R
Alexander,Krause,Dartmouth College,95,F,24,2001,"Calabasas, CA",USA,"6'1""",190,L
Cameron,MacDonald,Dartmouth College,15,F,23,2002,"Surrey, BC",Canada,"5'9""",185,R
Nathan,Morin,Dartmouth College,11,F,21,2004,"St-Augustin-de-Desmaures, QC",Canada,"5'9""",150,L
Nikita,Nikora,Dartmouth College,7,F,22,2004,St. Petersburg,Russia,"5'10""",170,L
Austin,Salani,Dartmouth College,8,F,22,2003,"Hancock, MI",USA,"6'2""",194,R
Ryan,Schelling,Dartmouth College,26,F,21,2004,"Airmont, NY",USA,"6'0""",174,R
Joshua,Schenk,Dartmouth College,13,F,21,2004,"Whitehorse, YT",Canada,"6'0""",163,R
Jack,Silverberg,Dartmouth College,86,F,21,2004,"Sherwood Park, AB",Canada,"5'9""",165,R
Hayden,Stavroff,Dartmouth College,10,F,21,2004,"Dublin, OH",USA,"5'11""",190,R
Jason,Stefanek,Dartmouth College,92,F,21,2004,"Yorba Linda, CA",USA,"5'11""",165,R
Oskari,Vuorio,Dartmouth College,24,F,21,2004,Espoo,Finland,"5'9""",174,L
Hobie,Hedquist,Ferris State Univ.,30,G,23,2003,"Heron Lake, MN",USA,"6'2""",194,L
Martin,Holtet Lundberg,Ferris State Univ.,55,G,21,2005,Romedal,Norway,"6'1""",181,L
Noah,Rupprecht,Ferris State Univ.,31,G,23,2002,"Thief River Falls, MN",USA,"5'11""",185,L
Mason,West,Ferris State Univ.,1,G,21,2004,"Traverse City, MI",USA,"5'10""",170,L
Nic,Belpedio,Ferris State Univ.,9,D,24,2001,"Skokie, IL",USA,"5'10""",194,L
Conner,Brown,Ferris State Univ.,24,D,22,2003,"Maplewood, MN",USA,"6'0""",194,L
Logan,Heroux,Ferris State Univ.,3,D,22,2003,"Middletown, NJ",USA,"6'2""",205,R
Xavier,Alexandre Jean-Louis,Ferris State Univ.,6,D,24,2001,"Miami, FL",Canada,"6'5""",212,L
Christopher,Lie,Ferris State Univ.,4,D,20,2005,Hamar,Norway,"5'10""",168,L
Jack,Mesic,Ferris State Univ.,10,D,23,2002,"Plymouth, MI",USA,"5'11""",185,R
Brian,Morse,Ferris State Univ.,11,D,23,2003,"Fresno, CA",USA,"6'1""",185,R
Valtteri,Piironen,Ferris State Univ.,5,D,24,2001,Pyhäselkä,Finland,"6'4""",207,L
Trevor,Taulien,Ferris State Univ.,28,D,22,2003,"Crystal Lake, IL",USA,"6'5""",229,R
Kade,Turner,Ferris State Univ.,2,D,23,2003,"Calgary, AB",Canada,"6'1""",198,R
Jacob,Badal,Ferris State Univ.,26,F,24,2001,"Flushing, MI",USA,"6'1""",201,L
Gavin,Best,Ferris State Univ.,27,F,24,2001,"Richfield, MN",USA,"6'2""",194,L
Caden,Brown,Ferris State Univ.,12,F,22,2003,"St. Louis, MO",USA,"5'11""",190,L
Holden,Doell,Ferris State Univ.,16,F,22,2003,"Martensville, SK",Canada,"5'11""",185,R
Max,Dukovac,Ferris State Univ.,18,F,24,2002,"Aurora, IL",USA,"6'1""",185,L
Emerson,Goode,Ferris State Univ.,22,F,23,2002,"Anaheim, CA",USA,"6'1""",185,L
Max,Itagaki,Ferris State Univ.,19,F,23,2002,"Glenview, IL",USA,"5'6""",154,R
Luke,Lisko,Ferris State Univ.,17,F,21,2004,"Marine City, MI",USA,"6'1""",190,R
John,Lundy,Ferris State Univ.,21,F,24,2001,"Brooklyn, NY",USA,"5'10""",181,L
Connor,McGrath,Ferris State Univ.,7,F,22,2003,"LeRoy, SK",Canada,"5'11""",161,L
Carter,Rapalje,Ferris State Univ.,34,F,24,2001,"Burlington, VT",USA,"5'10""",181,R
Tanner,Rowe,Ferris State Univ.,20,F,23,2002,"Calumet, MI",USA,"6'1""",194,L
Tyler,Schleppe,Ferris State Univ.,8,F,24,2001,"Vancouver, BC",Canada,"6'4""",225,R
Jack,Silich,Ferris State Univ.,15,F,22,2003,"Long Grove, IL",USA,"5'10""",185,R
Riley,Wallack,Ferris State Univ.,23,F,24,2001,"South Surrey, BC",Canada,"6'6""",249,L
Josh,Zary,Ferris State Univ.,13,F,24,2001,"Nanaimo, BC",Canada,"6'1""",201,L
Ben,Charette,Harvard Univ.,31,G,22,2003,"Aurora, ON",Canada,"6'3""",183,L
Evan,Zhang,Harvard Univ.,1,G,20,2006,"Sherborn, MA",USA,"6'2""",165,L
Matthew,Biotti,Harvard Univ.,3,D,21,2004,"Cambridge, MA",USA,"6'4""",181,R
Donato,Bracco,Harvard Univ.,18,D,18,2007,"Locust Valley, NY",USA,"5'10""",161,L
Ryan,Healey,Harvard Univ.,9,D,21,2004,"Chicago, IL",USA,"6'0""",183,R
David,Hejduk,Harvard Univ.,10,D,22,2004,"Parker, CO",USA,"6'2""",205,R
Sean,Keohane,Harvard Univ.,5,D,21,2004,"Boston, MA",USA,"6'4""",205,L
Mason,Langenbrunner,Harvard Univ.,22,D,23,2002,"Dallas, TX",USA,"6'3""",194,R
James,Mackey,Harvard Univ.,44,D,20,2005,"Villanova, PA",USA,"6'6""",243,L
Matthew,Morden,Harvard Univ.,14,D,21,2004,"Hamilton, ON",Canada,"6'4""",203,L
Drake,Murray,Harvard Univ.,20,D,19,2006,"Manhattan Beach, CA",USA,"6'1""",201,R
Lucas,St-Louis,Harvard Univ.,26,D,20,2005,"Burlington, VT",USA,"5'11""",181,L
Michael,Callow,Harvard Univ.,8,F,22,2004,"Boston, MA",USA,"6'4""",207,R
Ryan,Fine,Harvard Univ.,10,F,20,2005,"Center Moriches, NY",USA,"5'9""",183,R
Richard,Gallant,Harvard Univ.,6,F,18,2007,"Concord, MA",USA,"5'8""",170,L
Salvatore,Guzzo,Harvard Univ.,23,F,20,2005,"Old Tappan, NJ",USA,"6'1""",185,R
Marek,Hejduk,Harvard Univ.,13,F,22,2004,"Parker, CO",USA,"6'1""",190,R
William,Hughes,Harvard Univ.,17,F,22,2004,"Andover, MA",USA,"6'3""",216,R
Cameron,Johnson,Harvard Univ.,21,F,21,2004,"Vancouver, BC",Canada,"5'10""",168,L
Aidan,Lane,Harvard Univ.,88,F,19,2007,"Mississauga, ON",Canada,"6'1""",192,R
Ben,MacDonald,Harvard Univ.,19,F,22,2004,"Weston, MA",USA,"6'1""",194,L
Will,McDonough,Harvard Univ.,16,F,20,2005,"Duxbury, MA",USA,"6'2""",201,R
Joe,Miller,Harvard Univ.,12,F,23,2002,"Minneapolis, MN",USA,"5'10""",165,R
Heikki,Ruohonen,Harvard Univ.,28,F,19,2006,Helsinki,Finland,"6'2""",205,L
Casey,Severo,Harvard Univ.,29,F,25,2001,"Pittsford, NY",USA,"5'11""",181,R
Justin,Solovey,Harvard Univ.,11,F,21,2004,"Holmdel, NJ",USA,"6'2""",209,L
Chase,Stefanek,Harvard Univ.,24,F,19,2006,"Yorba Linda, CA",USA,"6'2""",192,L
Mick,Thompson,Harvard Univ.,27,F,21,2004,"Toronto, ON",Canada,"5'9""",192,L
Philip,Tresca,Harvard Univ.,7,F,23,2002,"Boston, MA",USA,"6'0""",196,R
Rorke,Applebee,Lake Superior State Univ.,33,G,22,2003,"Châteauguay, QC",Canada,"6'0""",181,L
Andrew,Oke,Lake Superior State Univ.,29,G,21,2004,"Shelby Township, MI",USA,"6'2""",194,L
Adam,Barone,Lake Superior State Univ.,6,D,21,2004,"Sault Ste. Marie, ON",Canada,"6'1""",209,R
Samuel,Bélanger,Lake Superior State Univ.,15,D,21,2004,"Montréal, QC",Canada,"6'4""",229,L
Jack,Blanchett,Lake Superior State Univ.,8,D,22,2003,"Monroe, MI",USA,"5'11""",190,L
Mike,Brown,Lake Superior State Univ.,3,D,24,2001,"Belmont, MA",USA,"6'2""",223,L
Evan,Bushy,Lake Superior State Univ.,5,D,23,2002,"Thief River Falls, MN",USA,"6'1""",194,L
John,Druskinis,Lake Superior State Univ.,53,D,23,2002,"Plymouth, MI",USA,"6'2""",192,R
